Заказчик;Предст.заказчика;Объект;№ заказа;Заключен;№ комплекта;Наименование комплекта;№ изделия по приложению;№ изделия по повт.приложению;Л;Центр работ;Включено;Наименование изделия;Отказ;Менеджер проекта;Руководитель группы;Архитектор проекта;Конструктор;Исполнитель Диз.проекта;Статус ДП;Обр.не подписан;Обр.подписан;Размер;Этаж;Помещение;Ед-ца изм.;Количество по дог-ру;Серийный №;Материал массив;Материал шпон;Рисунок;Порядковый № образца цвета заказчика;Художественный отдел;1-Улица 2-Помещение с повыш. влажностью 3-Поверхности с повыш.износом;Кол-во по факту проектирования;Об-ва ДП;Об-ва Oбразцы;Об-ва ГП;Смежники по дереву;Договор заключен;Дата сдачи;К.Сверхур %;КДП создана;КДП утверждена внутри фирмы;Ведомость фурнитуры;Ведомость стекла;Утвержденная спецификация передана в производство;КД передана в архив и производство, в том числе смежникам;Отгружено в отделку без резьбы.;Отгружено в отделку с резьбой.;Передано на грунт;Передано на грунт с резьбой;Выполнено в черновой шлифовке.;Выполнено в черновой шлифовке с резьбой.;Перемещено в зону чистовой отделки.;Перемещено в зону чистовой отделки с резьбой.;Выполнено в отделке без резьбы.;Выполнено в отделке с резьбой.;Отметка ОТК без резьбы;Отметка ОТК с резьбой;Поступило на склад ГП без резьбы.;Поступило на склад ГП с резьбой;Отгружено на объект без резьбы;Примечания;Отгружено на объект с резьбой;Сервис менеджер;Об-ва нач.монтажа;Об-ва окон.монтажа;Невозможность начать монтаж;Монтажник;Смонтировано;Акт подписан
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;;г. Москва, Иваньковское шоссе, д.8;2440;20.11.2018;377;Винный погреб/пом.хранения вина 003/шкафной гарнитур,LED-подсветка;1;1;;;;Шкаф-стеллаж для вина, открытый, нижняя секция: полки наклонные под 45, Средний ярус: наклонная полка (без учета стоимости подсветки),  Верхиние ярусы: секции для бутылок, открытая антресоль, Цокольный плинтус с гладким профилем;;Маркобрунов;Черкашин Д.;Казеев Е.;Шишенко С.;Казеев Е.;Передан в КБ 11-02-2019;6a;;2650х740х420;Винный погреб;Помещение хранения вина 003;шт;1;Спец.Дизайн;;;комбинир;6  НПЗ;;;;11.12.2018;;;;;;;26.02.2019;01.03.2019;;;05.03.2019;04.03.2019;28.03.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;;НЕТ;;;19.04.2019;НЕТ;22.04.2019;;НЕТ;Погонин;;;;;15.05.2019;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;1 этаж;г. Москва, Иваньковское шоссе, д.8;2440;20.11.2018;379;3этаж/санузел 307/зеркала,тумбы,шкаф,полка;1;11;;;;РЕШЕТКА ДЕКОРАТИВНАЯ СЪЕМНАЯ (В ВЕРХНЕЙ СЕКЦИИ ШКАФОВ ПЕРЕД КОНДИЦИОНЕРОМ);;Маркобрунов;Черкашин Д.;Казеев Е.;Шишенко С.;Казеев Е.;Передан в КБ 11-02-2019;;;2650х740х420;Винный погреб;Помещение хранения вина 003;шт;0;Спец.Дизайн;;;;;;;;30.11.2018;;;;;;;26.02.2019;01.03.2019;;;05.03.2019;04.03.2019;28.03.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;;НЕТ;;;19.04.2019;НЕТ;22.04.2019;;НЕТ;Погонин;;;;;15.05.2019;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;1 этаж;г. Москва, Иваньковское шоссе, д.8;2440;20.11.2018;379;3этаж/санузел 307/зеркала,тумбы,шкаф,полка;1;12;;;;ПОЛКИ ДЕРЕВЯННЫЕ (ВНУТРИ КИРПИЧНЫХ СТЕЛЛАЖЕЙ);;Маркобрунов;Черкашин Д.;Казеев Е.;Шишенко С.;;;;;2650х740х420;Винный погреб;Помещение хранения вина 003;шт;0;Спец.Дизайн;;;;;;;;30.11.2018;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;Погонин;;;;;;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;1 этаж;г. Москва, Иваньковское шоссе, д.8;2440;20.11.2018;377;Винный погреб/пом.хранения вина 003/шкафной гарнитур,LED-подсветка;2;2;;;;Шкаф-стеллаж для вина, открытый, нижняя секция: полки наклонные под 45, Средний ярус: наклонная полка (без учета стоимости подсветки),  Верхиние ярусы: секции для бутылок, открытая антресоль, Цокольный плинтус с гладким профилем;;Маркобрунов;Черкашин Д.;Казеев Е.;Шишенко С.;Казеев Е.;Передан в КБ 11-02-2019;6a;;2650х740х420;Винный погреб;Помещение хранения вина 003;шт;1;Спец.Дизайн;;;комбинир;6  НПЗ;;;;11.12.2018;;;;;;;26.02.2019;01.03.2019;;;05.03.2019;04.03.2019;28.03.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;;НЕТ;;;19.04.2019;НЕТ;22.04.2019;;НЕТ;Погонин;;;;;15.05.2019;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;1 этаж;г. Москва, Иваньковское шоссе, д.8;2440;20.11.2018;377;Винный погреб/пом.хранения вина 003/шкафной гарнитур,LED-подсветка;3;3;;;;Шкаф-стеллаж для вина, открытый, нижняя секция: полки наклонные под 45, Средний ярус: наклонная полка (без учета стоимости подсветки),  Верхиние ярусы: секции для бутылок, открытая антресоль, Цокольный плинтус с гладким профилем;;Маркобрунов;Черкашин Д.;Казеев Е.;Шишенко С.;Казеев Е.;Передан в КБ 11-02-2019;6a;;2650х740х420;Винный погреб;Помещение хранения вина 003;шт;1;Спец.Дизайн;;;комбинир;6  НПЗ;;;;11.12.2018;;;;;;;26.02.2019;01.03.2019;;;05.03.2019;04.03.2019;28.03.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;;НЕТ;;;19.04.2019;НЕТ;22.04.2019;;НЕТ;Погонин;;;;;15.05.2019;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;1 этаж;г. Москва, Иваньковское шоссе, д.8;2440;20.11.2018;377;Винный погреб/пом.хранения вина 003/шкафной гарнитур,LED-подсветка;4;4;;;;Шкаф-стеллаж для вина, открытый, нижняя секция: полки наклонные под 45, Средний ярус: наклонная полка (без учета стоимости подсветки),  Верхиние ярусы: секции для бутылок, открытая антресоль, Цокольный плинтус с гладким профилем;;Маркобрунов;Черкашин Д.;Казеев Е.;Шишенко С.;Казеев Е.;Передан в КБ 11-02-2019;6a;;2650х740х420;Винный погреб;Помещение хранения вина 003;шт;1;Спец.Дизайн;;;комбинир;6  НПЗ;;;;11.12.2018;;;;;;;26.02.2019;01.03.2019;;;05.03.2019;04.03.2019;28.03.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;;НЕТ;;;19.04.2019;НЕТ;22.04.2019;;НЕТ;Погонин;;;;;15.05.2019;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;1 этаж;г. Москва, Иваньковское шоссе, д.8;2440;20.11.2018;377;Винный погреб/пом.хранения вина 003/шкафной гарнитур,LED-подсветка;5;5;;;;Шкаф-стеллаж для вина, открытый, нижняя секция: полки наклонные под 45, Средний ярус: наклонная полка (без учета стоимости подсветки),  Верхиние ярусы: секции для бутылок, открытая антресоль, Цокольный плинтус с гладким профилем;;Маркобрунов;Черкашин Д.;Казеев Е.;Шишенко С.;Казеев Е.;Передан в КБ 11-02-2019;6a;;2650х740х420;Винный погреб;Помещение хранения вина 003;шт;1;Спец.Дизайн;;;комбинир;6  НПЗ;;;;11.12.2018;;;;;;;26.02.2019;01.03.2019;;;05.03.2019;04.03.2019;28.03.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;;НЕТ;;;19.04.2019;НЕТ;22.04.2019;;НЕТ;Погонин;;;;;15.05.2019;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;1 этаж;г. Москва, Иваньковское шоссе, д.8;2440;20.11.2018;377;Винный погреб/пом.хранения вина 003/шкафной гарнитур,LED-подсветка;6;6;;;;Шкаф-стеллаж для вина, открытый, нижняя секция: полки наклонные под 45, Средний ярус: наклонная полка (без учета стоимости подсветки),  Верхиние ярусы: секции для бутылок, открытая антресоль, Цокольный плинтус с гладким профилем;;Маркобрунов;Черкашин Д.;Казеев Е.;Шишенко С.;Казеев Е.;Передан в КБ 11-02-2019;6a;;2650х740х420;Винный погреб;Помещение хранения вина 003;шт;1;Спец.Дизайн;;;комбинир;6  НПЗ;;;;11.12.2018;;;;;;;26.02.2019;01.03.2019;;;05.03.2019;04.03.2019;28.03.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;;НЕТ;;;19.04.2019;НЕТ;22.04.2019;;НЕТ;Погонин;;;;;15.05.2019;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;1 этаж;г. Москва, Иваньковское шоссе, д.8;2440;20.11.2018;377;Винный погреб/пом.хранения вина 003/шкафной гарнитур,LED-подсветка;7;7;;;2440/1;Комплект встроенной ленточной светодиодной подсветки (для среднего яруса встреонных шкафов для вина);;Маркобрунов;Черкашин Д.;Казеев Е.;Шишенко С.;Казеев Е.;Передан в КБ 11-02-2019;6a;;L=4440;Винный погреб;Помещение хранения вина 003;компл.;1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;26.02.2019;01.03.2019;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;05.03.2019;04.03.2019;28.03.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;19.04.2019;НЕТ;ВКЛЮЧЕНО в 2440/1;НЕТ;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;19.04.2019;НЕТ;22.04.2019;ВКЛЮЧЕНО в 2440/1;НЕТ;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;ВКЛЮЧЕНО в 2440/1;15.05.2019;
Обитель Св.Елисаветы, в лице Генерального директора Лебединской Евгении Ярославны;1 этаж;г. Москва, Иваньковское шоссе, д.8;2440;20.11.2018;378;1этаж/ресторан/комоды,ширма;8;8;;;;Рама деревянная под ТВ с резным профилем (Ширина рамы 150мм);;Маркобрунов;Черкашин Д.;Казеев Е.;КТАО;Казеев Е.;Передан в производство 19-11-2018;;;1860х3000;1 этаж;Ресторан;м/п;1;Спец.Дизайн;;;;;;;;11.12.2018;;;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;13.12.2018;НЕ ТРЕБУЕТСЯ;15.12.2018;НЕТ;15.12.2018;НЕТ;18.12.2018;НЕТ;18.12.2018;НЕТ;;НЕТ;;;18.12.2018;НЕТ;18.12.2018;;НЕТ;Погонин;;;;;27.12.2018;22.01.2019
